City,DisasterType,WeatherCondition,Year,TemperatureC,RainfallMM
Ahmedabad,Industrial Accident,Cloudy,2024,32,147
Delhi,Flood,Extreme Heat,2012,38,316
Bangalore,Stampede,Cloudy,2020,34,19
Mumbai,Fire,Cloudy,2022,45,157
Bangalore,Earthquake,Storm,2023,23,191
Jaipur,Industrial Accident,High Humidity,2023,40,369
Dehradun,Industrial Accident,Extreme Heat,2007,37,185
Bangalore,Earthquake,Cloudy,2002,24,226
Patna,Industrial Accident,Storm,2015,22,219
Mumbai,Industrial Accident,Clear,2000,38,259
Mumbai,Heatwave,Monsoon Rain,2013,24,286
Shimla,Flood,Dry Heat,2010,31,165
Bhopal,Stampede,Monsoon Rain,2008,39,181
Ahmedabad,Stampede,Heavy Rain,2021,26,49
Shimla,Heatwave,High Humidity,2020,20,230
Guwahati,Flood,Storm,2014,39,188
Jaipur,Building Collapse,Heavy Rain,2009,32,128
Bhopal,Landslide,Extreme Heat,2020,18,372
Kochi,Stampede,Dry Heat,2009,43,11
Surat,Industrial Accident,Storm,2016,24,34
Jaipur,Heatwave,Clear,2006,29,134
Visakhapatnam,Industrial Accident,Monsoon Rain,2003,25,315
Bhopal,Heatwave,Dry Heat,2019,43,338
Jaipur,Earthquake,Storm,2024,44,301
Ranchi,Building Collapse,Thunderstorm,2012,36,212
Bhopal,Industrial Accident,High Humidity,2023,33,359
Lucknow,Heatwave,High Humidity,2012,32,62
Bhopal,Cyclone,Cloudy,2015,41,222
Patna,Landslide,Monsoon Rain,2016,32,272
Guwahati,Industrial Accident,Thunderstorm,2017,43,224
Bhopal,Building Collapse,High Humidity,2003,38,116
Bhopal,Stampede,Cloudy,2012,33,113
Kolkata,Stampede,Cloudy,2021,34,303
Delhi,Fire,Heavy Rain,2019,18,163
Chennai,Industrial Accident,Storm,2017,30,72
Shimla,Industrial Accident,Dry Heat,2000,45,234
Mumbai,Heatwave,Clear,2023,44,61
Bhopal,Fire,Heavy Rain,2020,34,356
Ahmedabad,Earthquake,Clear,2003,36,76
Ahmedabad,Landslide,Monsoon Rain,2001,32,93
Jaipur,Landslide,Clear,2004,28,342
Ranchi,Building Collapse,High Humidity,2012,24,247
Chennai,Fire,Clear,2009,31,114
Guwahati,Flood,Dry Heat,2006,21,20
Bhopal,Flood,Storm,2017,35,368
Chennai,Flood,Extreme Heat,2003,21,74
Ahmedabad,Stampede,Dry Heat,2014,27,86
Kochi,Fire,Dry Heat,2005,45,236
Hyderabad,Heatwave,Extreme Heat,2011,29,263
Bangalore,Landslide,Cloudy,2015,28,124
Chennai,Heatwave,Cloudy,2001,38,140
Pune,Building Collapse,Cloudy,2021,34,172
Nagpur,Landslide,Heavy Rain,2021,38,66
Lucknow,Earthquake,Storm,2019,41,311
Guwahati,Heatwave,Heavy Rain,2018,38,43
Surat,Fire,Dry Heat,2020,43,279
Kochi,Stampede,Cloudy,2001,34,367
Chennai,Earthquake,Thunderstorm,2011,19,34
Hyderabad,Earthquake,Monsoon Rain,2007,34,74
Surat,Stampede,Monsoon Rain,2015,34,50
Delhi,Flood,Clear,2022,34,195
Surat,Earthquake,Storm,2012,34,99
Guwahati,Fire,Extreme Heat,2021,22,249
Kochi,Fire,Monsoon Rain,2010,32,145
Jaipur,Stampede,Clear,2001,25,26
Lucknow,Landslide,Monsoon Rain,2013,18,212
Visakhapatnam,Flood,High Humidity,2016,27,225
Dehradun,Stampede,Clear,2002,20,232
Dehradun,Landslide,Heavy Rain,2020,36,253
Guwahati,Flood,Monsoon Rain,2023,28,275
Lucknow,Earthquake,Storm,2003,33,141
Delhi,Flood,Dry Heat,2006,33,261
Bhopal,Heatwave,Storm,2018,19,26
Surat,Stampede,Storm,2009,35,130
Patna,Cyclone,Storm,2008,39,270
Surat,Heatwave,Cloudy,2009,30,248
Dehradun,Flood,Cloudy,2021,40,87
Mumbai,Industrial Accident,Cloudy,2022,22,314
Surat,Flood,High Humidity,2006,36,169
Dehradun,Earthquake,Monsoon Rain,2017,39,313
Bangalore,Earthquake,Dry Heat,2017,45,23
Delhi,Fire,Clear,2011,22,49
Chennai,Heatwave,Cloudy,2010,27,143
Ahmedabad,Industrial Accident,Heavy Rain,2006,24,331
Kolkata,Flood,Monsoon Rain,2010,41,248
Guwahati,Fire,Extreme Heat,2008,18,292
Mumbai,Flood,Cloudy,2009,32,174
